Date,Close/Last,Volume,Open,High,Low
2/17/21,$273.57 ,12763240,$271.24 ,$273.97 ,$269.58 
2/16/21,$273.97 ,15417240,$270.80 ,$276.60 ,$270.05 
2/12/21,$270.50 ,9097597,$270.52 ,$271.18 ,$268.34 
2/11/21,$270.39 ,12828570,$271.89 ,$273.58 ,$268.49 
2/10/21,$271.87 ,14687150,$272.45 ,$273.80 ,$267.72 
2/9/21,$269.45 ,14613380,$266.44 ,$273.39 ,$265.75 
2/8/21,$266.58 ,13755190,$268.75 ,$269.86 ,$265.00 
2/5/21,$268.10 ,12454370,$266.80 ,$269.17 ,$265.67 
2/4/21,$266.49 ,16059960,$267.01 ,$268.16 ,$264.00 
2/3/21,$266.65 ,14223380,$265.62 ,$269.20 ,$263.84 
2/2/21,$267.08 ,17320790,$264.00 ,$268.85 ,$263.27 
2/1/21,$262.01 ,22914260,$259.52 ,$264.17 ,$254.91 
1/29/21,$258.33 ,30389500,$265.30 ,$266.56 ,$254.85 
1/28/21,$265.00 ,37758840,$277.18 ,$286.79 ,$264.70 
1/27/21,$272.14 ,35346190,$282.53 ,$283.45 ,$268.12 
1/26/21,$282.05 ,19373640,$278.14 ,$285.39 ,$277.81 
1/25/21,$278.01 ,19086990,$278.14 ,$280.10 ,$271.51 
1/22/21,$274.50 ,21954040,$272.01 ,$278.47 ,$272.00 
1/21/21,$272.87 ,20838690,$269.26 ,$273.60 ,$267.49 
1/20/21,$267.48 ,25199920,$268.93 ,$270.32 ,$263.60 
1/19/21,$261.10 ,28028550,$256.90 ,$262.20 ,$252.72 
1/15/21,$251.36 ,24942930,$247.90 ,$253.86 ,$247.16 
1/14/21,$245.64 ,29739400,$253.40 ,$255.03 ,$244.61 
1/13/21,$251.64 ,19528940,$251.55 ,$253.95 ,$249.20 
1/12/21,$251.09 ,26449940,$256.63 ,$259.72 ,$250.30 
1/11/21,$256.84 ,30412290,$260.48 ,$263.47 ,$255.90 
1/8/21,$267.57 ,18528250,$268.31 ,$268.95 ,$263.18 
1/7/21,$268.74 ,15789760,$265.90 ,$271.61 ,$264.78 
1/6/21,$263.31 ,24354150,$262.00 ,$267.75 ,$260.01 
1/5/21,$270.97 ,9871557,$268.29 ,$272.40 ,$268.21 
1/4/21,$268.94 ,15106110,$274.78 ,$275.00 ,$265.20 
12/31/20,$273.16 ,12900410,$272.00 ,$277.09 ,$269.81 
12/30/20,$271.87 ,11803800,$277.95 ,$278.08 ,$271.71 
12/29/20,$276.78 ,16383000,$276.95 ,$280.51 ,$276.28 
12/28/20,$277.00 ,23299710,$268.74 ,$277.30 ,$265.66 
12/24/20,$267.40 ,6702033,$268.88 ,$270.40 ,$266.20 
12/23/20,$268.11 ,14329040,$266.89 ,$272.17 ,$266.23 
12/22/20,$267.09 ,17335000,$271.50 ,$271.50 ,$264.63 
12/21/20,$272.79 ,16553740,$272.98 ,$274.67 ,$267.79 
12/18/20,$276.40 ,26693250,$275.78 ,$278.00 ,$271.14 
12/17/20,$274.48 ,16377840,$277.07 ,$280.44 ,$273.61 
12/16/20,$275.67 ,15885000,$274.76 ,$277.86 ,$272.51 
12/15/20,$275.55 ,23979460,$274.83 ,$276.08 ,$267.47 
12/14/20,$274.19 ,16376880,$273.37 ,$277.22 ,$271.56 
12/11/20,$273.55 ,14391400,$274.53 ,$276.48 ,$270.25 
12/10/20,$277.12 ,20065090,$275.54 ,$278.73 ,$271.86 
12/9/20,$277.92 ,25189710,$283.66 ,$287.63 ,$271.75 
12/8/20,$283.40 ,10747650,$286.01 ,$286.43 ,$281.55 
12/7/20,$285.58 ,13007670,$279.19 ,$288.49 ,$278.20 
12/4/20,$279.70 ,10880300,$280.30 ,$283.46 ,$279.30 
12/3/20,$281.85 ,12921690,$286.25 ,$286.65 ,$281.07 
12/2/20,$287.52 ,17361620,$285.36 ,$291.78 ,$280.83 
12/1/20,$286.55 ,20777910,$279.16 ,$289.30 ,$278.96 
11/30/20,$276.97 ,16693340,$276.03 ,$277.70 ,$271.01 
11/27/20,$277.81 ,7808426,$277.39 ,$279.13 ,$274.82 
11/25/20,$275.59 ,12467010,$278.14 ,$280.18 ,$272.65 
11/24/20,$276.92 ,16930420,$268.49 ,$277.82 ,$267.87 
11/23/20,$268.43 ,20990790,$270.89 ,$270.95 ,$264.53 
11/20/20,$269.70 ,18122410,$272.56 ,$273.00 ,$269.41 
11/19/20,$272.94 ,12963660,$271.03 ,$273.47 ,$269.19 
11/18/20,$271.97 ,12152950,$274.52 ,$277.39 ,$271.84 
11/17/20,$275.00 ,15040300,$277.68 ,$277.68 ,$273.29 
11/16/20,$278.96 ,12970350,$275.05 ,$279.41 ,$274.63 
11/13/20,$276.95 ,10400100,$277.72 ,$277.76 ,$273.10 
11/12/20,$275.08 ,12914210,$277.18 ,$279.75 ,$274.43 
11/11/20,$276.48 ,14956950,$273.47 ,$278.40 ,$272.48 
11/10/20,$272.43 ,29067690,$273.10 ,$274.00 ,$264.00 
11/9/20,$278.77 ,25117650,$289.87 ,$292.58 ,$278.53 
11/6/20,$293.41 ,13890970,$293.95 ,$294.60 ,$288.06 
11/5/20,$294.68 ,23823630,$291.90 ,$297.38 ,$288.95 
11/4/20,$287.38 ,35364420,$281.00 ,$288.94 ,$278.62 
11/3/20,$265.30 ,17961860,$263.16 ,$270.05 ,$260.88 
11/2/20,$261.36 ,27165680,$264.60 ,$270.47 ,$257.34 
10/30/20,$263.11 ,47299000,$274.50 ,$276.70 ,$259.10 
10/29/20,$280.83 ,32368120,$276.55 ,$283.60 ,$273.78 
10/28/20,$267.67 ,23121810,$278.79 ,$278.79 ,$267.26 
10/27/20,$283.29 ,16287250,$278.76 ,$284.51 ,$276.31 
10/26/20,$277.11 ,21322930,$283.16 ,$285.23 ,$274.26 
10/23/20,$284.79 ,17535160,$278.80 ,$285.24 ,$276.82 
10/22/20,$278.12 ,16720030,$279.87 ,$282.45 ,$275.04 
10/21/20,$278.73 ,28998640,$279.56 ,$283.05 ,$276.37 
10/20/20,$267.56 ,18763250,$263.06 ,$269.70 ,$262.88 
10/19/20,$261.40 ,13586960,$265.53 ,$268.55 ,$259.88 
10/16/20,$265.93 ,16622700,$267.38 ,$271.37 ,$265.30 
10/15/20,$266.72 ,15416060,$267.60 ,$269.04 ,$263.67 
10/14/20,$271.82 ,15601150,$277.62 ,$278.75 ,$271.50 
10/13/20,$276.14 ,18063340,$277.58 ,$279.10 ,$273.39 
10/12/20,$275.75 ,31019260,$270.20 ,$280.18 ,$267.87 
10/9/20,$264.45 ,14107800,$264.52 ,$264.75 ,$262.17 
10/8/20,$263.76 ,16312760,$259.75 ,$264.62 ,$259.15 
10/7/20,$258.12 ,23133420,$259.21 ,$260.18 ,$254.82 
10/6/20,$258.66 ,18696920,$261.78 ,$265.69 ,$258.24 
10/5/20,$264.65 ,12822250,$262.20 ,$264.87 ,$260.84 
10/2/20,$259.94 ,16367600,$261.21 ,$265.15 ,$259.18 
10/1/20,$266.63 ,20009800,$265.35 ,$268.33 ,$264.80 
9/30/20,$261.90 ,20142550,$261.98 ,$266.09 ,$260.10 
9/29/20,$261.79 ,20215500,$257.81 ,$263.33 ,$256.90 
9/28/20,$256.82 ,18826250,$259.40 ,$259.60 ,$254.82 
9/25/20,$254.82 ,18351310,$249.40 ,$255.75 ,$246.61 
9/24/20,$249.53 ,20006750,$246.50 ,$252.24 ,$245.62 
9/23/20,$249.02 ,19641270,$255.26 ,$257.99 ,$248.15 
9/22/20,$254.75 ,30293100,$253.31 ,$255.32 ,$248.22 
9/21/20,$248.15 ,24709380,$247.54 ,$249.95 ,$244.13 
9/18/20,$252.53 ,28130770,$258.41 ,$259.20 ,$250.05 
9/17/20,$254.82 ,31281440,$258.28 ,$261.50 ,$250.19 
9/16/20,$263.52 ,29207590,$267.29 ,$272.44 ,$261.79 
9/15/20,$272.42 ,18478530,$270.67 ,$274.52 ,$269.30 
9/14/20,$266.15 ,24093830,$270.95 ,$276.64 ,$265.70 
9/11/20,$266.61 ,18913880,$270.06 ,$271.39 ,$262.64 
9/10/20,$268.09 ,24814670,$275.51 ,$279.16 ,$267.03 
9/9/20,$273.72 ,22918770,$275.77 ,$278.48 ,$271.35 
9/8/20,$271.16 ,24864000,$271.28 ,$279.30 ,$269.42 
9/4/20,$282.73 ,30333670,$287.25 ,$289.00 ,$271.14 
9/3/20,$291.12 ,32294090,$295.99 ,$297.60 ,$283.63 
9/2/20,$302.50 ,24341370,$298.88 ,$303.60 ,$293.05 
9/1/20,$295.44 ,17320870,$294.71 ,$301.49 ,$292.71 
8/31/20,$293.20 ,17345130,$293.95 ,$296.88 ,$291.55 
8/28/20,$293.66 ,17172420,$295.00 ,$297.23 ,$290.98 
8/27/20,$293.22 ,30301310,$300.16 ,$301.23 ,$292.02 
